A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A749,Stevensville K-6 300 Park Street Stevensville,B618,Stevensville Elementary School A.K.A. Stevensville K-6 300 Park St Stevensville,0.7716236
A187,Sacajawea Middle School PO Box 520 Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.77159536
A203,Townsend 7-8 201 N Spruce Townsend,B641,Townsend 7-8 School Po Box N Townsend,0.77137816
A573,Malta K-5 PO Box 670 Malta,B417,Malta 6-8 School Po Box 670 Malta,0.77123594
A746,Stanford 7-8 Box 506 Stanford,B615,Stanford 7-8 School Po Box 506 Stanford,0.77035797
A367,Frazer 7-8 PO Box 488 Frazer,B230,Frazer 7-8 School Po Box 488 Frazer,0.7700422
A191,Bozeman High School PO Box 520 Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.76984227
A176,Boulder 7-8 PO Box 1346 Boulder,B63,Boulder 7-8 School 205 S Washington St Boulder,0.76940584
A453,Harlem 7-8 PO Box 339 Harlem,B283,Harlem 7-8 School 610 First Ave Se Harlem,0.7693634
A116,Saddle Peak Elementary PO Box 166 Belgrade,B532,Ridgeview Elementary School 117 Greenbelt Drive Belgrade,0.76898944
A171,Bloomfield School 207 West Bell Glendive,B328,Hobson 6-8 School 108 6th Street East Hobson,0.76870173
A314,DeSmet 6-8 6355 Padre Lane Missoula,B163,Desmet 6-8 School 6355 Padre Ln Missoula,0.7673449
A786,Troy Junior High Box 867 Troy,B645,Troy High School 116 E. Missoula Ave Troy,0.7673105
A378,Fromberg High School 319 School Street Fromberg,B318,Highwood High School 160 West Street South Highwood,0.76698804
A794,Ulm School PO Box 189 Ulm,B653,Ulm Elementary School A.K.A. Ulm School 6 Ulm-Vaughn Rd Ulm,0.766639
A170,Cleveland School 22820 Cleveland Road Chinook,B120,Chinook High School 528 Ohio Chinook,0.76653093
A182,Hawthorne School PO Box 520 Bozeman,B293,Hawthorne School 430 Madison Ave Helena,0.7647008
A51,Chester-Joplin-Inverness HS Box 550 Chester,B116,"Chester High School Po Box 550, School And Main Chester",0.7639259
A773,Terry Middle School Box 187 Terry,B634,Terry High School 215 E Park Terry,0.76332283
A184,Longfellow School PO Box 520 Bozeman,B409,Longfellow School 115 West Lincoln Street Baker,0.7632008
A25,Mount Ascension Learning Ac EL 1325 Poplar Street Helena,B300,Helena Flats 7-8 School 1000 Helena Flats Rd Kalispell,0.76316124
A720,Seeley Lake 7-8 PO Box 840 Seeley Lake,B580,Seeley Lake 7-8 200 School Lane Seeley Lake,0.7616775
A760,Sunset School 5024 Sunset Hill Road Greenough,B266,Golden Valley Colony School 240 Highway 300 Ryegate,0.76160425
A404,Gold Creek School 825 Gold Creek Road Gold Creek,B643,Trout Creek School 4 School Lane Trout Creek,0.76158285
A26,Mount Ascension Learning Ac MS 1325 Poplar Street Helena,B300,Helena Flats 7-8 School 1000 Helena Flats Rd Kalispell,0.7603997
A748,Stevensville 7-8 300 Park Street Stevensville,B620,Stevensville Jr High School A.K.A. Stevensville 7-8 300 Park St Stevensville,0.76019037
A855,YELLOWSTONE VIRTUAL ACADEMY 301 2nd St S Fairview,B680,West Yellowstone 7-8 School Po Box 460 W Yellowstone,0.7595763
A791,Twin Bridges School Box 419 Twin Bridges,B650,Twin Bridges High School 216 W 6th Twin Bridges,0.75828344
A227,Cardwell School 80 Highway 359 Cardwell,B484,Parkview School 32 Cottom Dr Dillon,0.7579022
A588,Melstone High School Box 97 Melstone,B441,Melstone High School Po Box 97 Melstone,0.7576976
A562,Lodge Grass 7-8 PO Box 810 Lodge Grass,B488,Plains 7-8 Po Box 549 Plains,0.75764537
A379,Fromberg Middle School 319 School Street Fromberg,B606,South Side Elementary School 415 4th Ave S Wolf Point,0.7566779
A265,Glacier Gateway Elem PO Box 1259 Columbia Falls,B259,Glacier Elementary Sch Po Box 2209 Cut Bank,0.7566616
A686,Richey School Box 60 Richey,B529,"Richey 7-8 School Po Box 60, 202 Royal Ave Richey",0.75532424
A242,Charlo Elementary PO Box 10 Charlo,B110,Charlo 6-8 School Po Box 10 Charlo,0.75508714
A778,Three Forks 7-8 212 East Neal Three Forks,B639,Three Forks Elementary School 212 E Neal St Three Forks,0.7550127
A186,Chief Joseph Middle School PO Box 520 Bozeman,B118,Chief Joseph Elementary School 5305 3rd Ave S Great Falls,0.75391585
A845,White Sulphur Springs 7-8 PO Box C White Sulphur Springs,B687,White Sulphur Springs Elem Sch 209 Central Ave S Wht Sphr Spgs,0.75381327
A569,Luther School 4 Luther Roscoe Road Luther,B157,De La Salle Blackfeet Middle School 104 1st Street Nw Browning,0.7537941
A238,McCormick School 1564 Old Highway 2 North Troy,B667,W F Morrison Elementary School 501 East Kalispell Troy,0.7537882
A41,North Star High School Box 129 Rudyard,B540,Rocky Boy High School Rr 1 Box 620 Box Elder,0.7534401
A389,Ross School 1491 Old Stage Rd Mosby,B548,Rossiter Elementary School 1497 Sierra Rd E Helena,0.7533771
A761,Superior Elementary PO Box 400 Superior,B629,Superior Elementary School 103 5th Avenue East Superior,0.75253063
A361,Fort Benton 7-8 PO Box 399 Fort Benton,B223,Fort Benton 7-8 School 1820 Washington St Fort Benton,0.75195843
A489,Hobson 6-8 PO Box 410 Hobson,B330,"Hobson School Po Box 410, 108 6th Street E Hobson",0.75191206
A293,S Y School 735 Road 664 Miles City,B390,Lincoln Elementary School 210 S Lake Ave Miles City,0.75152624
A561,Lodge Grass School PO Box 810 Lodge Grass,B454,Mountain View Elementary Sch Po Box 1090 Red Lodge,0.75090843
A709,Ryegate 7-8 PO Box 129 Ryegate,B560,Ryegate School 207 2nd Ave W Ryegate,0.7501618
A193,Bridger Charter School PO Box 520 Bozeman,B70,Bridger Elementary School 429 W Park Ave Bridger,0.7501461
A701,Roundup Elementary 12 Main Street Roundup,B549,Roundup 7-8 School 525 6th Ave W Roundup,0.74977505
A190,Bozeman Online Charter School PO Box 520 Bozeman,B447,Monforton School (Grades 3-5) 6001 Monforton School Rd Bozeman,0.7493614
A210,Napi School PO Box 610 Browning,B83,Browning Middle School Po Box 610 Browning,0.74834853
A671,Arrow Creek Elem School Box 229 Pryor,B67,Box Elder Elementary School Po Box 205 Box Elder,0.74813426
A843,White Sulphur Springs El PO Box C White Sulphur Springs,B687,White Sulphur Springs Elem Sch 209 Central Ave S Wht Sphr Spgs,0.74788153
A207,Brorson School PO Box 145 Sidney,B597,Sidney High School 1012 4th St Sw Sidney,0.7477674
A77,Alberton Elementary PO Box 330 Alberton,B5,Alberton High School 306 Railroad Ave Alberton,0.7471389
A668,Power Elementary PO Box 155 Power,B514,Power High School Po Box 155 Power,0.7454232
A40,North Star School Box 129 Rudyard,B539,Rocky Boy Elementary School Rr 1 Box 620 Box Elder,0.7452264
A106,Basin School PO Box 128 Basin,B652,Two Eagle River Schools Po Box 160 Pablo,0.7443359
A35,Pine Hills Youth Corr Facil HS PO Box 201301 Helena,B454,Mountain View Elementary Sch Po Box 1090 Red Lodge,0.74259233
A467,Hays-Lodge Pole High Sch PO Box 110 Hays,B294,Hays-Lodge Pole 7-8 197 Thunderbird Ln Hays,0.74246156
A75,Absarokee 6-8 327 S Woodard Ave Absarokee,B2,Absarokee Elementary School Rr 1 Box 2020 Absarokee,0.7423528
